mode,leaf_code,operator,value_cm,value2_cm,unit,source_fragment,leaf_text
rail,A1.1-4,gte,240.0,,cm,"ไม่น้อยกว่า 2,400 มิลลิเมตร","ขนาดกว้างไม่น้อยกว่า 2,400 มิลลิเมตร และยาวไม่น้อยกว่า 6,000 มิลลิเมตร"
rail,A1.1-4,gte,600.0,,cm,"ไม่น้อยกว่า 6,000 มิลลิเมตร","ขนาดกว้างไม่น้อยกว่า 2,400 มิลลิเมตร และยาวไม่น้อยกว่า 6,000 มิลลิเมตร"
rail,A1.1-5,gte,100.0,,cm,"ไม่น้อยกว่า 1,000 มิลลิเมตร","จัดให้มีที่ว่างข้างที่จอดรถกว้างไม่น้อยกว่า 1,000 มิลลิเมตร ตลอดความยาวของที่จอดรถ"
rail,A1.1-6,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,มีสัญลักษณ์รูปคนพิการนั่งรถเข็นคนพิการ (Wheelchair) อยู่บนพื้นของที่จอดรถด้านที่ติดกับทางเดินรถ ขนาดสัญลักษณ์กว้างไม่น้อ
rail,A1.1-6,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,มีสัญลักษณ์รูปคนพิการนั่งรถเข็นคนพิการ (Wheelchair) อยู่บนพื้นของที่จอดรถด้านที่ติดกับทางเดินรถ ขนาดสัญลักษณ์กว้างไม่น้อ
rail,A1.2-3,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,มีป้ายแสดงที่จอดรถของคนพิการ ขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
rail,A1.2-3,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,มีป้ายแสดงที่จอดรถของคนพิการ ขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
rail,A1.2-5,gte,200.0,,cm,"ไม่น้อยกว่า 2,000 มิลลิเมตร","ป้ายสัญลักษณ์ติดตั้งอยู่สูงจากพื้นไม่น้อยกว่า 2,000 มิลลิเมตร"
rail,A1.3-1,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ให้มีการติดตั้งที่พื้นบริเวณที่มีระดับต่างกันเกิน 200 มิลลิเมตร โดยมีขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และมีความยาวเท่า
rail,A1.3-1,gte,20.0,,cm,200 มิลลิเมตร,ให้มีการติดตั้งที่พื้นบริเวณที่มีระดับต่างกันเกิน 200 มิลลิเมตร โดยมีขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และมีความยาวเท่า
rail,A1.3-3,range,30.0,35.0,cm,ไม่น้อยกว่า 300 มิลลิเมตร แต่ไม่เกิน 350 มิลลิเมตร,ขอบของพื้นผิวต่างสัมผัสอยู่ห่างจากจุดเริ่มต้นของทางขึ้นหรือทางลงของพื้นต่างระดับ ทางลาด บันได หรือประตูไม่น้อยกว่า 300 ม
rail,A1.3-4,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ทางเข้าอาคาร ทางเดินระหว่างอาคาร และทางเชื่อมระหว่างอาคาร ในกรณีที่มีสิ่งกีดขวางที่จำเป็นบนทางเดิน ต้องจัดให้อยู่ในแนวเด
rail,A1.6-3,gte,120.0,,cm,"ไม่น้อยกว่า 1,200 มิลลิเมตร","ทางลาดต้องมีความกว้างไม่น้อยกว่า 1,200 มิลลิเมตร และต้องมีความลาดชันไม่เกิน 1 : 12"
rail,A1.6-3,gte,12.0,,ratio_1_x,ความลาดชันไม่เกิน 1 : 12,"ทางลาดต้องมีความกว้างไม่น้อยกว่า 1,200 มิลลิเมตร และต้องมีความลาดชันไม่เกิน 1 : 12"
rail,A1.6-4,lte,10.0,,percent,ความลาดชัน (Ramp slope) ร้อยละ 10,ขอบทางลาดปาดต้องมีความลาดชัน (Ramp slope) ร้อยละ 10
rail,A2.1-3,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ป้ายสัญลักษณ์คนพิการ ขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
rail,A2.1-3,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ป้ายสัญลักษณ์คนพิการ ขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
rail,A2.2-1.2,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,ความกว้างสุทธิไม่น้อยกว่า 900 มิลลิเมตร
rail,A2.2-1.3,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","พื้นที่หน้าทางลาดเป็นที่ว่างยาวไม่น้อยกว่า 1,500 มิลลิเมตร"
rail,A2.2-1.4,gte,12.0,,ratio_1_x,ความลาดชันไม่เกิน 1:12,ความลาดชันไม่เกิน 1:12
rail,A2.2-1.5,gte,5.0,,cm,ไม่น้อยกว่า 50 มิลลิเมตร,ทางลาดด้านที่ไม่มีผนังกั้นให้ยกขอบสูงจากพื้นผิวของทางลาดไม่น้อยกว่า 50 มิลลิเมตร และมีราวกันตก/ราวจับทำด้วยวัสดุที่มั่นค
rail,A2.2-2.2,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,ความกว้างสุทธิไม่น้อยกว่า 900 มิลลิเมตร
rail,A2.2-2.3,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","พื้นที่หน้าทางลาดเป็นที่ว่างยาวไม่น้อยกว่า 1,500 มิลลิเมตร"
rail,A2.2-2.4,gte,12.0,,ratio_1_x,ความลาดชันไม่เกิน 1:12,ความลาดชันไม่เกิน 1:12
rail,A2.2-2.5,gte,5.0,,cm,ไม่น้อยกว่า 50 มิลลิเมตร,ทางลาดด้านที่ไม่มีผนังกั้นให้ยกขอบสูงจากพื้นผิวของทางลาดไม่น้อยกว่า 50 มิลลิเมตร และมีราวกันตก/ราวจับทำด้วยวัสดุที่มั่นค
rail,A2.2-3.2,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","ความกว้างสุทธิไม่น้อยกว่า 1,500 มิลลิเมตร"
rail,A2.2-3.3,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","พื้นที่หน้าทางลาดเป็นที่ว่างยาวไม่น้อยกว่า 1,500 มิลลิเมตร"
rail,A2.2-3.4,gte,12.0,,ratio_1_x,ความลาดชันไม่เกิน 1:12,ความลาดชันไม่เกิน 1:12
rail,A2.2-3.5,gte,5.0,,cm,ไม่น้อยกว่า 50 มิลลิเมตร,ทางลาดด้านที่ไม่มีผนังกั้นให้ยกขอบสูงจากพื้นผิวของทางลาดไม่น้อยกว่า 50 มิลลิเมตร และมีราวกันตก/ราวจับทำด้วยวัสดุที่มั่นค
rail,A2.2-3.6,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","จัดให้มีชานพักยาวไม่น้อยกว่า 1,500 มิลลิเมตร คั่นระหว่างแต่ละช่วงของทางลาด"
rail,A2.2-4.2,range,3.0,4.0,cm,ไม่น้อยกว่า 30 มิลลิเมตร แต่ไม่เกิน 40 มิลลิเมตร,ลักษณะกลม เส้นผ่านศูนย์กลางไม่น้อยกว่า 30 มิลลิเมตร แต่ไม่เกิน 40 มิลลิเมตร
rail,A2.2-4.3,range,80.0,90.0,cm,ไม่น้อยกว่า 800 มิลลิเมตร แต่ไม่เกิน 900 มิลลิเมตร,สูงจากพื้นไม่น้อยกว่า 800 มิลลิเมตร แต่ไม่เกิน 900 มิลลิเมตร
rail,A2.2-4.4,range,70.0,75.0,cm,700-750 มิลลิเมตร,ติดตั้งราวจับราวที่สองในระดับความสูงระหว่าง 700-750 มิลลิเมตรจากพื้น เพื่อประโยชน์ต่อผู้ใช้รถเข็นคนพิการ (Wheelchair)
rail,A2.2-4.5,range,60.0,65.0,cm,600-650 มิลลิเมตร,กรณีราวจับคู่ (Double rail) สำหรับราวจับของเด็ก ติดตั้งสูงจากพื้น 600-650 มิลลิเมตร
rail,A2.2-4.6,gte,5.0,,cm,ไม่น้อยกว่า 50 มิลลิเมตร,ราวจับด้านที่อยู่ติดผนังให้มีระยะห่างจากผนังไม่น้อยกว่า 50 มิลลิเมตร มีความสูงจากจุดยึดไม่น้อยกว่า 120 มิลลิเมตร และผนัง
rail,A2.2-4.6,gte,12.0,,cm,ไม่น้อยกว่า 120 มิลลิเมตร,ราวจับด้านที่อยู่ติดผนังให้มีระยะห่างจากผนังไม่น้อยกว่า 50 มิลลิเมตร มีความสูงจากจุดยึดไม่น้อยกว่า 120 มิลลิเมตร และผนัง
rail,A2.2-4.8,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ปลายของราวจับให้ยื่นเลยจากจุดเริ่มต้นและจุดสิ้นสุดของทางลาดไม่น้อยกว่า 300 มิลลิเมตร
rail,A2.2-5,gte,150.0,,cm,"1,500 x 1,500 มิลลิเมตร (กว้าง)","พื้นที่บริเวณที่จุดเริ่มต้นและสิ้นสุดทางลาด ให้เป็นพื้นที่ว่างปราศจากสิ่งกีดขวางโดยมีความกว้างและความยาวไม่น้อยกว่า 1,50"
rail,A2.2-5,gte,150.0,,cm,"1,500 x 1,500 มิลลิเมตร (ยาว)","พื้นที่บริเวณที่จุดเริ่มต้นและสิ้นสุดทางลาด ให้เป็นพื้นที่ว่างปราศจากสิ่งกีดขวางโดยมีความกว้างและความยาวไม่น้อยกว่า 1,50"
rail,A2.3-1.1,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","พื้นผิวของบันไดเป็นวัสดุที่ไม่ลื่น และมีความกว้างสุทธิไม่น้อยกว่า 1,500 มิลลิเมตร"
rail,A2.3-1.2,lte,200.0,,cm,"ไม่เกิน 2,000 มิลลิเมตร","มีชานพักทุกระยะในแนวดิ่งไม่เกิน 2,000 มิลลิเมตร"
rail,A2.3-1.3,gte,28.0,,cm,ไม่น้อยกว่า 280 มิลลิเมตร,บันไดมีลูกตั้งสูงไม่เกิน 150 มิลลิเมตร โดยลูกตั้งต้องไม่มีช่องเปิดโล่ง และมีลูกนอนกว้างไม่น้อยกว่า 280 มิลลิเมตร
rail,A2.3-1.3,lte,15.0,,cm,ไม่เกิน 150 มิลลิเมตร,บันไดมีลูกตั้งสูงไม่เกิน 150 มิลลิเมตร โดยลูกตั้งต้องไม่มีช่องเปิดโล่ง และมีลูกนอนกว้างไม่น้อยกว่า 280 มิลลิเมตร
rail,A2.3-1.4,lte,200.0,,cm,"ไม่เกิน 2,000 มิลลิเมตร","บริเวณที่ว่างใต้บันไดและทางลาดที่มีความสูงจากพื้นไม่เกิน 2,000 มิลลิเมตร ต้องมีราวปิดกั้นเพื่อป้องกันการเข้าไปบริเวณดังก"
rail,A2.3-2.1,range,3.0,4.0,cm,30 ถึง 40 มิลลิเมตร,ราวจับทำด้วยวัสดุผิวเรียบ ลักษณะกลม เส้นผ่านศูนย์กลาง 30 ถึง 40 มิลลิเมตร
rail,A2.3-2.2,range,80.0,90.0,cm,800 ถึง 900 มิลลิเมตร,ติดตั้งสูงจากพื้น 800 ถึง 900 มิลลิเมตร
rail,A2.3-2.3,gte,5.0,,cm,อย่างน้อย 50 มิลลิเมตร,กรณีที่เป็นกำแพงพื้นผิวเรียบ ให้ติดตั้งห่างจากผนังอย่างน้อย 50 มิลลิเมตร โดยสูงจากจุดยึดอย่างน้อย 120 มิลลิเมตร
rail,A2.3-2.3,gte,12.0,,cm,อย่างน้อย 120 มิลลิเมตร,กรณีที่เป็นกำแพงพื้นผิวเรียบ ให้ติดตั้งห่างจากผนังอย่างน้อย 50 มิลลิเมตร โดยสูงจากจุดยึดอย่างน้อย 120 มิลลิเมตร
rail,A2.3-3.3,range,3.0,4.0,cm,ไม่น้อยกว่า 30 มิลลิเมตร แต่ไม่เกิน 40 มิลลิเมตร,ลักษณะกลม เส้นผ่านศูนย์กลางไม่น้อยกว่า 30 มิลลิเมตร แต่ไม่เกิน 40 มิลลิเมตร
rail,A2.3-3.4,range,80.0,90.0,cm,ไม่น้อยกว่า 800 มิลลิเมตร แต่ไม่เกิน 900 มิลลิเมตร,สูงจากพื้นไม่น้อยกว่า 800 มิลลิเมตร แต่ไม่เกิน 900 มิลลิเมตร
rail,A2.3-3.5,range,70.0,75.0,cm,700-750 มิลลิเมตร,ติดตั้งราวจับราวที่สองในระดับความสูงระหว่าง 700-750 มิลลิเมตร จากพื้น เพื่อประโยชน์ต่อผู้ใช้รถเข็นคนพิการ (Wheelchair)
rail,A2.3-3.6,range,60.0,65.0,cm,600-650 มิลลิเมตร,ราวจับคู่ (Double rail) สำหรับราวจับของเด็ก ติดตั้งสูงจากพื้น 600-650 มิลลิเมตร
rail,A2.3-3.7,gte,5.0,,cm,ไม่น้อยกว่า 50 มิลลิเมตร,ราวจับด้านที่อยู่ติดผนังให้มีระยะห่างจากผนังไม่น้อยกว่า 50 มิลลิเมตร มีความสูงจากจุดยึดไม่น้อยกว่า 120 มิลลิเมตร และผนัง
rail,A2.3-3.7,gte,12.0,,cm,ไม่น้อยกว่า 120 มิลลิเมตร,ราวจับด้านที่อยู่ติดผนังให้มีระยะห่างจากผนังไม่น้อยกว่า 50 มิลลิเมตร มีความสูงจากจุดยึดไม่น้อยกว่า 120 มิลลิเมตร และผนัง
rail,A2.3-3.9,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ปลายของราวจับให้ยื่นเลยจากจุดเริ่มต้นและจุดสิ้นสุดของบันไดไม่น้อยกว่า 300 มิลลิเมตร
rail,A2.4-1,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ให้มีการติดตั้งที่พื้นบริเวณที่มีระดับต่างกันเกิน 200 มิลลิเมตร โดยมีขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และมีความยาวเท่า
rail,A2.4-1,gte,20.0,,cm,200 มิลลิเมตร,ให้มีการติดตั้งที่พื้นบริเวณที่มีระดับต่างกันเกิน 200 มิลลิเมตร โดยมีขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และมีความยาวเท่า
rail,A2.4-3,range,30.0,35.0,cm,ไม่น้อยกว่า 300 มิลลิเมตร แต่ไม่เกิน 350 มิลลิเมตร,ขอบของพื้นผิวต่างสัมผัสอยู่ห่างจากจุดเริ่มต้นของทางขึ้นหรือทางลงของพื้นต่างระดับ ทางลาด บันได หรือประตูไม่น้อยกว่า 300 ม
rail,A2.4-4,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ทางเข้าอาคาร ทางเดินระหว่างอาคาร และทางเชื่อมระหว่างอาคาร ในกรณีที่มีสิ่งกีดขวางที่จำเป็นบนทางเดิน ต้องจัดให้อยู่ในแนวเด
rail,A2.7-3,gte,120.0,,cm,"ไม่น้อยกว่า 1,200 มิลลิเมตร","ทางลาดต้องมีความกว้างไม่น้อยกว่า 1,200 มิลลิเมตร และต้องมีความลาดชันไม่เกิน 1 : 12"
rail,A2.7-3,gte,12.0,,ratio_1_x,ความลาดชันไม่เกิน 1 : 12,"ทางลาดต้องมีความกว้างไม่น้อยกว่า 1,200 มิลลิเมตร และต้องมีความลาดชันไม่เกิน 1 : 12"
rail,A2.7-4,lte,10.0,,percent,ความลาดชัน (Ramp slope) ร้อยละ 10,ขอบทางลาดปาดต้องมีความลาดชัน (Ramp slope) ร้อยละ 10
rail,A2.8-4,gte,240.0,,cm,"ไม่น้อยกว่า 2,400 มิลลิเมตร","ขนาดกว้างไม่น้อยกว่า 2,400 มิลลิเมตร และยาวไม่น้อยกว่า 6,000 มิลลิเมตร"
rail,A2.8-4,gte,600.0,,cm,"ไม่น้อยกว่า 6,000 มิลลิเมตร","ขนาดกว้างไม่น้อยกว่า 2,400 มิลลิเมตร และยาวไม่น้อยกว่า 6,000 มิลลิเมตร"
rail,A2.8-5,gte,100.0,,cm,"ไม่น้อยกว่า 1,000 มิลลิเมตร","จัดให้มีที่ว่างข้างที่จอดรถกว้างไม่น้อยกว่า 1,000 มิลลิเมตร ตลอดความยาวของที่จอดรถ"
rail,A2.8-6,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,มีสัญลักษณ์รูปคนพิการนั่งรถเข็นคนพิการ (Wheelchair) อยู่บนพื้นของที่จอดรถด้านที่ติดกับทางเดินรถ ขนาดสัญลักษณ์กว้างไม่น้อ
rail,A2.8-6,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,มีสัญลักษณ์รูปคนพิการนั่งรถเข็นคนพิการ (Wheelchair) อยู่บนพื้นของที่จอดรถด้านที่ติดกับทางเดินรถ ขนาดสัญลักษณ์กว้างไม่น้อ
rail,A2.8-9,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,มีป้ายแสดงที่จอดรถของคนพิการ ขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
rail,A2.8-9,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,มีป้ายแสดงที่จอดรถของคนพิการ ขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
rail,A2.8-11,gte,200.0,,cm,"ไม่น้อยกว่า 2,000 มิลลิเมตร","ป้ายสัญลักษณ์ติดตั้งอยู่สูงจากพื้นไม่น้อยกว่า 2,000 มิลลิเมตร"
rail,A2.8-13,gte,12.0,,ratio_1_x,1:12,มีทางลาดความชันไม่เกิน 1:12
rail,B1.1-1.1,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,ความกว้างของช่องประตูวัดถึงขอบในต้องไม่น้อยกว่า 900 มิลลิเมตร
rail,B1.1-2.1,range,3.0,4.0,cm,ไม่น้อยกว่า 30 มิลลิเมตร แต่ไม่เกิน 40 มิลลิเมตร,"กรณีเป็นประตูบานเปิดผลักเข้า-ออก
2.1.1 ประตูต้องมีความกว้างสุทธิวัดถึงขอบในไม่น้อยกว่า 900 มิลลิเมตร
2.1.2 เปิดแล้วต้องม"
rail,B1.1-2.1,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,"กรณีเป็นประตูบานเปิดผลักเข้า-ออก
2.1.1 ประตูต้องมีความกว้างสุทธิวัดถึงขอบในไม่น้อยกว่า 900 มิลลิเมตร
2.1.2 เปิดแล้วต้องม"
rail,B1.1-2.1,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","กรณีเป็นประตูบานเปิดผลักเข้า-ออก
2.1.1 ประตูต้องมีความกว้างสุทธิวัดถึงขอบในไม่น้อยกว่า 900 มิลลิเมตร
2.1.2 เปิดแล้วต้องม"
rail,B1.1-2.1,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","กรณีเป็นประตูบานเปิดผลักเข้า-ออก
2.1.1 ประตูต้องมีความกว้างสุทธิวัดถึงขอบในไม่น้อยกว่า 900 มิลลิเมตร
2.1.2 เปิดแล้วต้องม"
rail,B1.1-2.1,gte,100.0,,cm,"ไม่น้อยกว่า 1,000 มิลลิเมตร","กรณีเป็นประตูบานเปิดผลักเข้า-ออก
2.1.1 ประตูต้องมีความกว้างสุทธิวัดถึงขอบในไม่น้อยกว่า 900 มิลลิเมตร
2.1.2 เปิดแล้วต้องม"
rail,B1.1-2.1,lte,80.0,,cm,ไม่เกิน 800 มิลลิเมตร,"กรณีเป็นประตูบานเปิดผลักเข้า-ออก
2.1.1 ประตูต้องมีความกว้างสุทธิวัดถึงขอบในไม่น้อยกว่า 900 มิลลิเมตร
2.1.2 เปิดแล้วต้องม"
rail,B1.1-2.2,range,3.0,4.0,cm,ไม่น้อยกว่า 30 มิลลิเมตร แต่ไม่เกิน 40 มิลลิเมตร,"กรณีเป็นประตูบานเลื่อน
2.2.1 ประตูต้องมีความกว้างสุทธิวัดถึงขอบในไม่น้อยกว่า 900 มิลลิเมตร
2.2.2 มีมือจับขนาดเท่ากับราวจ"
rail,B1.1-2.2,range,80.0,90.0,cm,ไม่น้อยกว่า 800 มิลลิเมตร แต่ไม่เกิน 900 มิลลิเมตร,"กรณีเป็นประตูบานเลื่อน
2.2.1 ประตูต้องมีความกว้างสุทธิวัดถึงขอบในไม่น้อยกว่า 900 มิลลิเมตร
2.2.2 มีมือจับขนาดเท่ากับราวจ"
rail,B1.1-2.2,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,"กรณีเป็นประตูบานเลื่อน
2.2.1 ประตูต้องมีความกว้างสุทธิวัดถึงขอบในไม่น้อยกว่า 900 มิลลิเมตร
2.2.2 มีมือจับขนาดเท่ากับราวจ"
rail,B1.1-2.2,gte,100.0,,cm,"ไม่น้อยกว่า 1,000 มิลลิเมตร","กรณีเป็นประตูบานเลื่อน
2.2.1 ประตูต้องมีความกว้างสุทธิวัดถึงขอบในไม่น้อยกว่า 900 มิลลิเมตร
2.2.2 มีมือจับขนาดเท่ากับราวจ"
rail,B1.1-2.2,lte,80.0,,cm,ไม่เกิน 800 มิลลิเมตร,"กรณีเป็นประตูบานเลื่อน
2.2.1 ประตูต้องมีความกว้างสุทธิวัดถึงขอบในไม่น้อยกว่า 900 มิลลิเมตร
2.2.2 มีมือจับขนาดเท่ากับราวจ"
rail,B1.1-2.3,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,"กรณีเป็นประตูอัตโนมัติ
2.3.1 ความกว้างสุทธิของช่องเปิดประตูวัดถึงขอบในต้องไม่น้อยกว่า 900 มิลลิเมตร
2.3.2 ต้องมีปุ่มกดที"
rail,B1.1-3,lte,120.0,,cm,"ไม่เกิน 1,200 มิลลิเมตร","อุปกรณ์เปิดและปิดประตูเป็นชนิดก้านบิดหรือแกนผลัก อยู่สูงจากพื้นไม่ต่ำกว่า 1,000 มิลลิเมตร แต่ไม่เกิน 1,200 มิลลิเมตร"
rail,B1.1-3,gte,100.0,,cm,"1,000 มิลลิเมตร","อุปกรณ์เปิดและปิดประตูเป็นชนิดก้านบิดหรือแกนผลัก อยู่สูงจากพื้นไม่ต่ำกว่า 1,000 มิลลิเมตร แต่ไม่เกิน 1,200 มิลลิเมตร"
rail,B1.1-4,lte,2.0,,cm,ไม่เกิน 20 มิลลิเมตร,กรณีมีธรณีประตูความสูงต้องไม่เกิน 20 มิลลิเมตร และขอบทั้งสองด้านมีความลาดเอียงไม่เกิน 45 องศา
rail,B1.1-4,lte,45.0,,degree,45 องศา,กรณีมีธรณีประตูความสูงต้องไม่เกิน 20 มิลลิเมตร และขอบทั้งสองด้านมีความลาดเอียงไม่เกิน 45 องศา
rail,B1.2-1,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ให้มีการติดตั้งที่พื้นบริเวณที่มีระดับต่างกันเกิน 200 มิลลิเมตร โดยมีขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และมีความยาวเท่า
rail,B1.2-1,gte,20.0,,cm,200 มิลลิเมตร,ให้มีการติดตั้งที่พื้นบริเวณที่มีระดับต่างกันเกิน 200 มิลลิเมตร โดยมีขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และมีความยาวเท่า
rail,B1.2-3,range,30.0,35.0,cm,ไม่น้อยกว่า 300 มิลลิเมตร แต่ไม่เกิน 350 มิลลิเมตร,ขอบของพื้นผิวต่างสัมผัสอยู่ห่างจากจุดเริ่มต้นของทางขึ้นหรือทางลงของพื้นต่างระดับ ทางลาด บันได หรือประตูไม่น้อยกว่า 300 ม
rail,B1.2-4,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ทางเข้าอาคาร ทางเดินระหว่างอาคาร และทางเชื่อมระหว่างอาคาร ในกรณีที่มีสิ่งกีดขวางที่จำเป็นบนทางเดิน ต้องจัดให้อยู่ในแนวเด
rail,B1.2-7,gte,60.0,,cm,600 มิลลิเมตร,ติดตั้งพื้นผิวต่างสัมผัสเตือนที่ริมขอบจุดพักทางข้าม ความกว้าง 600 มิลลิเมตร
rail,B1.5-3,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ป้ายสัญลักษณ์คนพิการ ขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
rail,B1.5-3,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ป้ายสัญลักษณ์คนพิการ ขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และยาวไม่น้อยกว่า 300 มิลลิเมตร
rail,B2.1-3,lte,80.0,,cm,ไม่เกิน 800 มิลลิเมตร,เคาน์เตอร์ต้องมีความสูงสุทธิไม่เกิน 800 มิลลิเมตร
rail,B2.1-4,gte,70.0,,cm,ไม่น้อยกว่า 700 มิลลิเมตร,มีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับรถเข็นคนพิการ (Wheelchair) โดยมีความสูงจากพื้นไม่น้อยกว่า 700 มิลลิเมตร แ
rail,B2.1-4,lte,75.0,,cm,ไม่เกิน 750 มิลลิเมตร,มีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับรถเข็นคนพิการ (Wheelchair) โดยมีความสูงจากพื้นไม่น้อยกว่า 700 มิลลิเมตร แ
rail,B2.1-5,gte,40.0,,cm,ไม่น้อยกว่า 400 มิลลิเมตร,ความลึกสุทธิพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์ไม่น้อยกว่า 400 มิลลิเมตร
rail,B2.2-3,lte,80.0,,cm,ไม่เกิน 800 มิลลิเมตร,เคาน์เตอร์ต้องมีความสูงสุทธิไม่เกิน 800 มิลลิเมตร
rail,B2.2-4,gte,70.0,,cm,ไม่น้อยกว่า 700 มิลลิเมตร,มีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับรถเข็นคนพิการ (Wheelchair) เข้าไปได้โดยมีความสูงจากพื้นไม่น้อยกว่า 700 มิ
rail,B2.2-4,lte,75.0,,cm,ไม่เกิน 750 มิลลิเมตร,มีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับรถเข็นคนพิการ (Wheelchair) เข้าไปได้โดยมีความสูงจากพื้นไม่น้อยกว่า 700 มิ
rail,B2.2-5,gte,40.0,,cm,ไม่น้อยกว่า 400 มิลลิเมตร,มีความลึกสุทธิไม่น้อยกว่า 400 มิลลิเมตร
rail,B2.6-2,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,พื้นที่พักคอยเดี่ยวต้องมีด้านกว้างไม่น้อยกว่า 900 มิลลิเมตร และพื้นที่พักคอยแบบคู่ต้องมีด้านกว้างที่ละไม่น้อยกว่า 850 มิ
rail,B2.6-2,gte,85.0,,cm,ไม่น้อยกว่า 850 มิลลิเมตร,พื้นที่พักคอยเดี่ยวต้องมีด้านกว้างไม่น้อยกว่า 900 มิลลิเมตร และพื้นที่พักคอยแบบคู่ต้องมีด้านกว้างที่ละไม่น้อยกว่า 850 มิ
rail,B2.6-6,gte,90.0,,cm,ไม่น้อยกว่า 900 มิลลิเมตร,"เป็นพื้นที่ราบขนาดความกว้างไม่น้อยกว่า 900 มิลลิเมตร และความยาวไม่น้อยกว่า 1,400 มิลลิเมตร ต่อ 1 ที่ อยู่ในตำแหน่งที่เข้"
rail,B2.6-6,gte,140.0,,cm,"ไม่น้อยกว่า 1,400 มิลลิเมตร","เป็นพื้นที่ราบขนาดความกว้างไม่น้อยกว่า 900 มิลลิเมตร และความยาวไม่น้อยกว่า 1,400 มิลลิเมตร ต่อ 1 ที่ อยู่ในตำแหน่งที่เข้"
