mode,leaf_code,operator,value_cm,value2_cm,unit,source_fragment,leaf_text
air,B1.3-1,gte,20.0,,cm,200 มิลลิเมตร,ให้มีการติดตั้งที่พื้นบริเวณที่มีระดับต่างกันเกิน 200 มิลลิเมตร โดยมีขนาดกว้างไม่น้อยกว่า 300 มิลลิเมตร และมีความยาวเท่า
air,B1.3-2.4,range,30.0,60.0,cm,ไม่น้อยกว่า 300 มิลลิเมตร แต่ไม่เกิน 600 มิลลิเมตร,"พื้นทางเข้าและทางออกของประตูลิฟต์
- มีพื้นผิวต่างสัมผัสบนพื้นบริเวณหน้าประตูลิฟต์ กว้าง 300 มิลลิเมตร และยาว 900 มิลลิเม"
air,B1.3-2.4,gte,30.0,,cm,300 มิลลิเมตร,"พื้นทางเข้าและทางออกของประตูลิฟต์
- มีพื้นผิวต่างสัมผัสบนพื้นบริเวณหน้าประตูลิฟต์ กว้าง 300 มิลลิเมตร และยาว 900 มิลลิเม"
air,B1.3-2.4,gte,90.0,,cm,900 มิลลิเมตร,"พื้นทางเข้าและทางออกของประตูลิฟต์
- มีพื้นผิวต่างสัมผัสบนพื้นบริเวณหน้าประตูลิฟต์ กว้าง 300 มิลลิเมตร และยาว 900 มิลลิเม"
air,B1.3-3,range,30.0,35.0,cm,ไม่น้อยกว่า 300 มิลลิเมตร แต่ไม่เกิน 350 มิลลิเมตร,ขอบของพื้นผิวต่างสัมผัสอยู่ห่างจากจุดเริ่มต้นของ ทางขึ้นหรือทางลงของพื้นต่างระดับ ทางลาด บันได หรือประตูไม่น้อยกว่า 300 
air,B1.3-4,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ทางเข้าอาคาร ทางเดินระหว่างอาคาร และทางเชื่อม ระหว่างอาคาร ในกรณีที่มีสิ่งกีดขวางที่จำเป็นบนทางเดิน ต้องจัดให้อยู่ในแนวเ
air,B1.3-8,gte,60.0,,cm,600 มิลลิเมตร,ติดตั้งพื้นผิวต่างสัมผัสเตือนที่ริมขอบจุดพักทางข้าม ความกว้าง 600 มิลลิเมตร
air,B1.6-1.1,gte,150.0,,cm,"ไม่น้อยกว่า 1,500 มิลลิเมตร","พื้นผิวของบันไดเป็นวัสดุที่ไม่ลื่น และมีความกว้างสุทธิ ไม่น้อยกว่า 1,500 มิลลิเมตร"
air,B1.6-1.2,lte,200.0,,cm,"ไม่เกิน 2,000 มิลลิเมตร","มีชานพักทุกระยะในแนวดิ่งไม่เกิน 2,000 มิลลิเมตร"
air,B1.6-1.3,gte,28.0,,cm,ไม่น้อยกว่า 280 มิลลิเมตร,บันไดมีลูกตั้งสูงไม่เกิน 150 มิลลิเมตร โดยลูกตั้ง ต้องไม่มีช่องเปิดโล่ง และมีลูกนอนกว้างไม่น้อยกว่า 280 มิลลิเมตร
air,B1.6-1.3,lte,15.0,,cm,ไม่เกิน 150 มิลลิเมตร,บันไดมีลูกตั้งสูงไม่เกิน 150 มิลลิเมตร โดยลูกตั้ง ต้องไม่มีช่องเปิดโล่ง และมีลูกนอนกว้างไม่น้อยกว่า 280 มิลลิเมตร
air,B1.6-1.4,lte,200.0,,cm,"ไม่เกิน 2,000 มิลลิเมตร","บริเวณที่ว่างใต้บันไดและทางลาดที่มีความสูงจาก พื้นไม่เกิน 2,000 มิลลิเมตร ต้องมีราวปิดกั้น เพื่อป้องกันการเข้าไปบริเวณดั"
air,B1.6-2.1,range,3.0,4.0,cm,30 ถึง 40 มิลลิเมตร,ราวจับทำด้วยวัสดุผิวเรียบ ลักษณะกลม เส้นผ่านศูนย์กลาง 30 ถึง 40 มิลลิเมตร
air,B1.6-2.2,range,80.0,90.0,cm,800 ถึง 900 มิลลิเมตร,ติดตั้งสูงจากพื้น 800 ถึง 900 มิลลิเมตร
air,B1.6-2.3,gte,5.0,,cm,อย่างน้อย 50 มิลลิเมตร,กรณีที่เป็นกำแพงพื้นผิวเรียบ ให้ติดตั้งห่างจากผนัง อย่างน้อย 50 มิลลิเมตร โดยสูงจากจุดยึดอย่างน้อย 120 มิลลิเมตร
air,B1.6-2.3,gte,12.0,,cm,อย่างน้อย 120 มิลลิเมตร,กรณีที่เป็นกำแพงพื้นผิวเรียบ ให้ติดตั้งห่างจากผนัง อย่างน้อย 50 มิลลิเมตร โดยสูงจากจุดยึดอย่างน้อย 120 มิลลิเมตร
